"sig126 (S1_WT)"	"sig127C (S3_WT)"	"sig130C (T9_Pants)"	"sig131 (T10_Pants)"
"sp|P10630|IF4A2_MOUSE"	-0.680029923761747	-0.680712343318049	0.591580038345047	0.76916222873475
"sp|P08226|APOE_MOUSE"	-0.335791919573847	-0.731974139895346	0.535220200185449	0.532545859283751
"sp|Q9EQU5|SET_MOUSE"	-1.18832418443885	-1.27710591978595	1.34644250484575	1.11898759937905
"sp|Q9EQU5-2|SET_MOUSE"	-1.27381228534152	-1.38533896301412	1.44014323642707	1.21900801192857
"sp|P63325|RS10_MOUSE"	-0.503270982063402	-0.720937564280401	0.511119498980698	0.713089047363098
"sp|P62270|RS18_MOUSE"	-0.419234005062847	-0.805108289602749	0.56018339429335	0.664158900372254
"sp|P61358|RL27_MOUSE"	-0.381680685771826	-0.761875961456223	0.453896270346377	0.689660376881676
"sp|P61979|HNRPK_MOUSE"	-0.667635258206246	-1.28211057290035	0.925137881493647	1.02460794961295
"tr|Q8BT23|Q8BT23_MOUSE"	-0.660277474981797	-1.1762995187349	0.8344520616001	1.0021249321166
"tr|H3BJS9|H3BJS9_MOUSE"	-0.657429676209176	-1.34865436824738	1.08964185559203	0.916442188864526
"sp|Q8CCF0|PRP31_MOUSE"	-0.907225653321651	-1.48735513684995	1.18885724032385	1.20572354984775
"sp|Q9CY58|PAIRB_MOUSE"	-0.385323831747876	-0.704649303868173	0.522154550631324	0.567818584984725
"sp|Q6PDM2|SRSF1_MOUSE"	-1.40039473359659	-1.4736392786651	1.4270306973988	1.4470033148629
"sp|O55128|SAP18_MOUSE"	-0.581526295171951	-1.45341332540465	1.26790780935875	0.767031811217848
"sp|P62281|RS11_MOUSE"	-0.407815623475003	-0.860377129920295	0.5720067653154	0.6961859880799
"sp|P02088|HBB1_MOUSE"	-0.869306588250797	-0.861678551349303	0.8317286629736	0.899256476626498
"tr|Q62293|Q62293_MOUSE"	-0.529573462016204	-0.515172448878202	0.439568148040699	0.6051777628537
"sp|P37804|TAGL_MOUSE"	-0.964674154565902	-0.770321819643904	1.0469381775122	0.688057796697599
"sp|Q5XJY5|COPD_MOUSE"	-0.722824346081875	-0.651233618658576	0.645624924770928	0.728433039969527
"sp|P62313|LSM6_MOUSE"	-0.504618603322402	-0.756613509587801	0.928906794100204	0.33232531881
"tr|Q91VB8|Q91VB8_MOUSE"	-0.807227361967197	-0.9211270424675	0.8634438404588	0.864910563975901
"sp|Q91YR7|PRP6_MOUSE"	-0.693333824881377	-1.23855692223158	0.922479261709228	1.00941148540372
"sp|P23198|CBX3_MOUSE"	-0.887309745139198	-1.5914886968905	1.2549723652592	1.2238260767705
"tr|Q9DCC5|Q9DCC5_MOUSE"	-0.914427704308324	-1.63718259014792	1.28721060289698	1.26439969155928
"sp|P62311|LSM3_MOUSE"	-0.455747154506627	-0.659624170719725	0.483978278017474	0.631393047208874
"sp|Q6PGG6|GNL3L_MOUSE"	-0.345410822446826	-0.853516810456124	0.538427338029173	0.660500294873776
"sp|Q6ZWM4|LSM8_MOUSE"	-0.596004051582351	-1.00095196894645	0.835232991138252	0.761723029390552
"sp|Q80ZQ9|F206A_MOUSE"	-0.490083921775977	-0.718421821833571	0.673023232706127	0.535482510903424
"sp|P07356|ANXA2_MOUSE"	-0.970651369177499	-0.811145921174202	0.905066745436802	0.876730544914903
"tr|B0V2N5|B0V2N5_MOUSE"	-0.883558236114151	-0.758044526731251	0.900939722920153	0.740663039925252
"sp|Q9EQ28|DPOD3_MOUSE"	-0.378174717236201	-0.891064416452904	0.639588585360402	0.629650548328703
"sp|P70670|NACAM_MOUSE"	-0.8087396942766	-0.5519105639118	0.593103964166296	0.767546294022097
"tr|E9Q6E5|E9Q6E5_MOUSE"	-1.03248320161037	-1.31134734309648	1.11746824862612	1.22636229608073
